name,brand,categories,primaryCategories,reviews.date,reviews.text,reviews.title,sentiment
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2017-01-23T00:00:00.000Z,This device is a good if you are looking for a starter tablet for a young individual.,Good for 4 year old,Neutral
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2017-12-08T00:00:00.000Z,When I tried to hook it up it wouldn't recognize my internet. I will have to contact best buy when I get home and have their guys come out to see if they can get it working,Can't connect,Neutral
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,"Fire Tablets,Computers/Tablets & Networking,Tablets,All Tablets,Amazon Tablets,Frys,Computers & Tablets,Tablets & eBook Readers",Electronics,2017-06-23T00:00:00.000Z,It's a good device for children because they don't know any better,Good for kids,Negative
Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,Amazon,"Amazon Echo,Home Theater & Audio,MP3 MP4 Player Accessories,Electronics,Portable Audio,Compact Radios Stereos,Smart Hubs & Wireless Routers,Featured Brands,Smart Home & Connected Living,Home Security,Kindle Store,Electronic Components,Home Automation,Mobile Bluetooth Speakers,Home, Garage & Office,Amazon Tap,Home,Mobile Speakers,TVs & Electronics,Portable Bluetooth Speakers,Bluetooth & Wireless Speakers,Electronics Features,Frys,Speakers,Mobile,Digital Device 3,Smart Home,Home Improvement,Electronics, Tech Toys, Movies, Music,Smart Home & Home Automation Devices,Smart Hubs,MP3 Player Accessories,Home Safety & Security,Voice Assistants,Amazon Home,Alarms & Sensors,Portable Audio & Electronics,Amazon Devices,Audio,Bluetooth Speakers,MP3 Accessories,All Bluetooth & Wireless Speakers",Electronics,2017-01-03T00:00:00.000Z,"the speaker voice quality is terrible compare the similar size my logitech UE BOOM.the price is too high, even I got on promotion with $79","terrible product,bad voice quality",Negative
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2017-05-30T00:00:00.000Z,"These are great tablets for the kids and the price is wonderful with the warranty and the soft, yet bulky (a good thing in this instance) case. The only thing I wish, was that it could access the Google Play Store so my kids could watch the movies we have in our Google Play Movies account.",Great for the kids... no Google Play Store,Neutral
"Fire Tablet with Alexa, 7"" Display, 16 GB, Magenta - with Special Offers",Amazon,"Tablets,Fire Tablets,Electronics,iPad & Tablets,Android Tablets,Computers & Tablets,All Tablets",Electronics,2017-02-24T00:00:00.000Z,My daughter has had this tablet for almost 2 months and it works well.,Great tablet for child.,Neutral
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Amazon,"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,2016-07-10T00:00:00.000Z,"Overall it is a good tablet, but I am not a fan of the limitations of the silk browser and Amazon app store.",Overall okay,Neutral
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2017-10-21T00:00:00.000Z,"Great sound, easy set up. The screen seems sort of wasteful now that I've been playing with it. Maybe it has the capability to work as a digital picture frame....I'm just certain yet. I was able to set one picture to it...Not multiple. Would be nice if could be used for Hulu or Netflix and stuff since the picture and sound are so clear. I like the visual to do and shopping lists. Still worth the purchase. A good want to have...just not a must have...then again maybe I have not tapped into all it can do.",Nice novelty...sort of a waste of a screen,Neutral
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Amazon Echo,Virtual Assistant Speakers,Electronics Features,Home & Tools,Smart Home Automation,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Wireless Speakers,Smart Home,Home Improvement,Voice Assistants,Amazon Home,Amazon","Electronics,Hardware",2017-12-27T00:00:00.000Z,Needs to be a stand alone device. I should have not required to use a tablet of Cell phone to make it work. Amazon needs to work on the technology on device.,Needs to be a stand alone device,Negative
"Kindle E-reader - White, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers",Amazon,"Office,eBook Readers,Electronics Features,Walmart for Business,Tablets,Electronics,Amazon Ereaders,Office Electronics,iPad & Tablets,Kindle E-readers,All Tablets,Amazon Book Reader,Computers & Tablets","Office Supplies,Electronics",2017-03-16T00:00:00.000Z,This was my second kindle and I didn't realize that it wasn't paper white . What a difference. I took this back to the store and exchanged for paper white.. this was not easy to read for me,No like,Neutral
"Amazon - Kindle Voyage - 6"" - 4GB - Black",Amazon,"eBook Readers,Electronics Features,Walmart for Business,Tablets,See more Amazon Kindle Voyage (Wi-Fi),Electronics,Office Electronics,iPad & Tablets,Kindle E-readers,E-Readers & Accessories,All Tablets,See more Amazon Kindle Voyage 4GB, Wi-Fi  3G (Unlocked...,Computers & Tablets",Electronics,2016-10-14T00:00:00.000Z,Have had it for a while noe. A littlebit unusual to press so hard to change page but now starting to get used to it.,"Okay so far, nothing to mentioned bad or especiall",Neutral
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-04-30T00:00:00.000Z,A perfect tablet at a reasonable cost. Why pay higher prices for bells and whistles you don't use. The back lit feature is great for reading in low light conditions.,Perfect Tablet,Positive
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Amazon,"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,2017-01-17T00:00:00.000Z,"It's a little slow, and the camera isn't the best, but for the price it's fine",good value,Neutral
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-01-23T00:00:00.000Z,I need a tablet to begin exploring google and kindle fire was a great choice.,Great tablet.,Positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-12-26T00:00:00.000Z,"This tablet runs smooth with all amazon apps, the internet runs at a steady frame rate and it had a decent sized screen.",good for the price,Positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-01-07T00:00:00.000Z,I would buy another one for the priceGood product,Great price,Positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-12-09T00:00:00.000Z,My wife absolutely loves this tablet. It wad an early Christmas present,Tablet,Positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-04-07T00:00:00.000Z,Nice little tablet. Functional and easy to use.Fits the needs that I need to use it for.,Tablet,Positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-03-16T00:00:00.000Z,Never thought a tablet at this price could be this good. Totally recommended!,Value for money!,Positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-05-17T00:00:00.000Z,Bought it for my wife she loves it and I would but one for my self too,wife,Positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-04-07T00:00:00.000Z,"This tablet is great for books, audible books, music and all things Amazon. The included browser (Silk) is not the best. I purchased expanded memory (64GB SD card) for about $30 more and a cover for about $20. The biggest issue I have with this unit is that it is slow (when compared to an iPad) and it tends to freeze every so often. For about 2.5x more money, consider an iPad instead.",Not an iPad by any means,Neutral
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Black",Amazon,"Fire Tablets,Tablets,Computers/Tablets & Networking,Other Computers & Networking,Computers & Tablets,All Tablets",Electronics,2017-03-12T00:00:00.000Z,I bought this as a Christmas gift for my wife and things started out well but lately my wife has been having issues with it. It hasn't been working as it should and its only been a little over 2 months since she's had it. I'm going to try a hard reset on it and see if that helps.,Not looking too good...,Neutral
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2017-12-08T00:00:00.000Z,"Amazon show is pretty cool, It can help with things like cooking recipe, homework and other things. But it's restricted to only Amazon partner things. If Google comes out with something similar I would have definitely chosen that over the show. No YouTube.",Amazon show,Neutral
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-12-30T00:00:00.000Z,I was hoping to use Google launcher with this tablet but it is really locked down and you cannot change the launcher or the lock screen. Still cheap and fine for watching movies.,A cheap tablet,Neutral
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Blue",Amazon,"Fire Tablets,Tablets,All Tablets,Amazon Tablets,Computers & Tablets",Electronics,2017-05-18T00:00:00.000Z,meh. it works. i find it difficult to navigate. i also have an ipad mini. this seems to be less intuitive than the ipad.,amazon fire hd8,Neutral
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-01-23T00:00:00.000Z,"My father upgraded from the original Kindle Fire to this model, and he's very happy with it. It doesn't compete with more mainstream tablets, but he likes the Kindle's system for downloading library books.",A good improvement over previous models,Neutral
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-02-01T00:00:00.000Z,"I have had every version of the Kindle since the week it was introduced and jumped at the chance for a Kindle Fire. I replaced the first one I had in 2014 and it was everything I wanted except this past summer it started overheating and got nonresponsive in the midday heat. So...I got this one. First of all I miss Swype. WHY get rid of it? Secondly I cannot put two of my favorite apps (which work on my old one) to work on this but lastly and most importantly: every once in awhile the screen freezes with a bunch of code ""shimmering"" in the background and only turning it off and/or leaving it for awhile brings it back to life AND it turns itself off. It seems to happen when I close a program and move to a new one. Aggravating and not what I expect from a product with which I have been happy in the past.",Not ad happy with this one by far,Neutral
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-01-06T00:00:00.000Z,Thought it was to be better than what it is. Mother in law can play games an Facebook on it. Next time I will buy her a samsung,It's fair,Neutral
Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,Amazon,"Amazon Echo,Home Theater & Audio,MP3 MP4 Player Accessories,Electronics,Portable Audio,Compact Radios Stereos,Smart Hubs & Wireless Routers,Featured Brands,Smart Home & Connected Living,Home Security,Kindle Store,Electronic Components,Home Automation,Mobile Bluetooth Speakers,Home, Garage & Office,Amazon Tap,Home,Mobile Speakers,TVs & Electronics,Portable Bluetooth Speakers,Bluetooth & Wireless Speakers,Electronics Features,Frys,Speakers,Mobile,Digital Device 3,Smart Home,Home Improvement,Electronics, Tech Toys, Movies, Music,Smart Home & Home Automation Devices,Smart Hubs,MP3 Player Accessories,Home Safety & Security,Voice Assistants,Amazon Home,Alarms & Sensors,Portable Audio & Electronics,Amazon Devices,Audio,Bluetooth Speakers,MP3 Accessories,All Bluetooth & Wireless Speakers",Electronics,2017-05-03T00:00:00.000Z,Has a very good Bluetooth speakers sound quality is good but otherwise she's pretty useless when it comes to get answering questions,Good Bluetooth speaker,Negative
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-01-09T00:00:00.000Z,This is a great device. I needed something small to read books on. This device is exactly what I was looking for.,Needed something to read books,Positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-01-06T00:00:00.000Z,Easy to use and great quality. All 3 of my kids have a Kindle Fire,Great for kids or adults,Positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-12-25T00:00:00.000Z,So far it does what I want. Very happy with the price too.,Awesome tablet,Positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-05-05T00:00:00.000Z,It reads my textbooks to me while I play card games. Why did I wait so long to buy this thing? I should add that I am an Amazon Prime member so that might be needed to take full advantage of this feature. Cortonna will read all of my books to me. I didn't have to upgrade my books or pay extra per book.,Only Wish I would have bought it sooner,Positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-11-06T00:00:00.000Z,"This tablet is great for anyone who uses this for the basics.Load times can be a bit slow for browsing the web or streaming videos, but once it's loaded, it plays without buffering as long as you got internet speeds that are good enough. This tablet is a good size and great for pictures, downloaded videos and music. For its price, it makes a pretty good gift for someone wanting their first tablet.",Great For Basics,Positive
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Amazon,"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,2016-09-07T00:00:00.000Z,My first tablet was a Kindle. I was curious about the updated version. Very disappointed,Crashed after update,Negative
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Amazon,"Fire Tablets,Tablets,All Tablets,Amazon Tablets,Computers & Tablets",Electronics,2017-01-23T00:00:00.000Z,"Would not take a charge, good thing i tried before wrapping it for Christmas.",Had to return this on Christmas eve day,Negative
